Shelf-Antenna,Monday 11/16 (reads per 30 mins)
Shelf_A_A1-SN01238,2.955665025
Shelf_A_A2-SN01238,1.750938511
Shelf_B_B1-SN01148,15.49568966
Shelf_C_C1-SN01148,87.00251188
Shelf_D1-SN01147,2.332464617
Shelf_D2_2-SN01157,1.793481112
Shelf_D2_3-SN01157,1.034482759
Shelf_E1_1-SN01157,1.137931034
Shelf_E1_2-SN01157,1.206896552
Shelf_F_F1-SN01229,177.1182266
Shelf_F1-SN01229,245.9679803
Shelf_F1_1-SN01229,980.1747015
Shelf_F1_2-SN01229,47.55259569
Shelf_G_G1-SN01224,10.1201606
Shelf_H_H1-SN01225,43.1908867
Shelf_H_H2-SN01204,1.537356322
Shelf_H_H3-SN01139,26.82090077
Shelf_J_J1-SN01153,1.758368069
Shelf_K_K1-SN01153,2.272546419
