Shelf-Antenna,Percentage Breakdown
Shelf_3_Back-SN01146 ,0.052631579
Shelf_3_Back-SN01182 ,0.947368421
Shelf_1_Back-SN01146 ,1
Shelf_14_3-SN01133 ,0.040816327
Shelf_14_3-SN01217 ,0.959183673
Shelf_14_4-SN01155 ,0.052631579
Shelf_14_4-SN01163 ,0.026315789
Shelf_14_4-SN01217 ,0.868421053
Shelf_14_4-SN01133 ,0.052631579
Shelf_7-SN01154 ,1
Shelf_14_1-SN01205 ,0.571428571
Shelf_14_1-SN01212 ,0.071428571
Shelf_14_1-SN01146 ,0.071428571
Shelf_14_1-SN01161 ,0.071428571
Shelf_14_1-SN01156 ,0.071428571
Shelf_14_1-SN01133 ,0.142857143
Shelf_14_2-SN01133 ,0.6
Shelf_14_2-SN01217 ,0.4
Shelf_5-SN01166 ,0.444444444
Shelf_5-SN01181 ,0.375
Shelf_5-SN01154 ,0.013888889
Shelf_5-SN01188 ,0.166666667
Shelf_6_2-SN01166 ,0.583333333
Shelf_6_2-SN01181 ,0.416666667
Shelf_4-SN01182 ,0.523809524
Shelf_4-SN01124 ,0.19047619
Shelf_4-SN01146 ,0.285714286
Shelf_3-SN01154 ,0.4
Shelf_3-SN01133 ,0.4
Shelf_3-SN01217 ,0.2
Shelf_8_1-SN01168 ,0.041666667
Shelf_8_1-SN01166 ,0.708333333
Shelf_8_1-SN01154 ,0.083333333
Shelf_8_1-SN01181 ,0.166666667
Shelf_9_1-SN01154 ,1
Shelf_8_2-SN01166 ,0.063829787
Shelf_8_2-SN01154 ,0.893617021
Shelf_8_2-SN01144 ,0.042553191
Shelf_9_2-SN01205 ,1
Shelf_6_1-SN01166 ,0.411764706
Shelf_6_1-SN01188 ,0.176470588
Shelf_6_1-SN01181 ,0.411764706
Shelf_1_Front-SN01146 ,1
Shelf_2(510Skinny)-SN01156 ,0.016949153
Shelf_2(510Skinny)-SN01166 ,0.016949153
Shelf_2(510Skinny)-SN01186 ,0.016949153
Shelf_2(510Skinny)-SN01182 ,0.016949153
Shelf_2(510Skinny)-SN01146 ,0.93220339
Shelf_10-SN01133 ,0.022727273
Shelf_10-SN01222 ,0.590909091
Shelf_10-SN01156 ,0.386363636
Shelf_11-SN01155 ,0.037037037
Shelf_11-SN01156 ,0.703703704
Shelf_11-SN01222 ,0.259259259
Shelf_3_Front-SN01184 ,0.095238095
Shelf_3_Front-SN01181 ,0.047619048
Shelf_3_Front-SN01182 ,0.761904762
Shelf_3_Front-SN01170 ,0.047619048
Shelf_3_Front-SN01146 ,0.047619048
Shelf_12-SN01168 ,0.083333333
Shelf_12-SN01161 ,0.166666667
Shelf_12-SN01155 ,0.166666667
Shelf_12-SN01184 ,0.166666667
Shelf_12-SN01186 ,0.083333333
Shelf_12-SN01170 ,0.333333333
Shelf_2(511Slim)-SN01146 ,0.962962963
Shelf_2(511Slim)-SN01145 ,0.037037037
Shelf_16-SN01133 ,0.113207547
Shelf_16-SN01161 ,0.018867925
Shelf_16-SN01150 ,0.339622642
Shelf_16-SN01155 ,0.245283019
Shelf_16-SN01186 ,0.018867925
Shelf_16-SN01222 ,0.056603774
Shelf_16-SN01227 ,0.056603774
Shelf_16-SN01212 ,0.018867925
Shelf_16-SN01217 ,0.018867925
Shelf_16-SN01124 ,0.113207547
