Shelf-Antenna,Percentage Breakdown,,,,
Shelf_1-SN01048 ,0.063664216,,,,
Shelf_1-SN01085 ,0.318321078,,,,
Shelf_1-SN01101 ,0.363357843,,,,
Shelf_1-SN01104 ,0.254656863,,,,
Shelf_21-SN01077 ,1,,,,
Shelf_22-SN01077 ,1,,,,
Shelf_23-SN01077 ,1,,,,
Shelf_24-SN01077 ,1,,,,
Shelf_25-SN01077 ,1,,,,
Shelf_26-SN01077 ,0.820772059,,,,
Shelf_26-SN01080 ,0.179227941,,,,
Shelf_27-SN01080 ,0.84047379,,,,
Shelf_27-SN01089 ,0.064012097,,,,
Shelf_27-SN01093 ,0.031754032,,,,
Shelf_27-SN01106 ,0.064012097,,,,
Shelf_27-SN01122 ,0.0625,,,,
Shelf_28-SN01075 ,0.1,,,,
Shelf_28-SN01080 ,0.85,,,,
Shelf_28-SN01089 ,0.05,,,,
Shelf_29-SN01077 ,0.041744235,,,,
Shelf_29-SN01080 ,0.903938594,,,,
Shelf_29-SN01093 ,0.016393443,,,,
Shelf_29-SN01106 ,0.050218811,,,,
Shelf_2-SN01085 ,0.095454545,,,,
Shelf_2-SN01090 ,0.095454545,,,,
Shelf_2-SN01104 ,0.427272727,,,,
Shelf_2-SN01120 ,0.381818182,,,,
Shelf_30-SN01077 ,0.083333333,,,,
Shelf_30-SN01080 ,0.916666667,,,,
Shelf_31-SN01075 ,0.884615385,,,,
Shelf_31-SN01106 ,0.115384615,,,,
Shelf_32-SN01075 ,0.769230769,,,,
Shelf_32-SN01082 ,0.153846154,,,,
Shelf_32-SN01122 ,0.076923077,,,,
Shelf_33-SN01075 ,0.64217033,,,,
Shelf_33-SN01089 ,0.188873626,,,,
Shelf_33-SN01098 ,0.035714286,,,,
Shelf_33-SN01100 ,0.035714286,,,,
Shelf_33-SN01106 ,0.113324176,,,,
Shelf_33-SN01122 ,0.037774725,,,,
Shelf_34-SN01075 ,0.238888889,,,,
Shelf_34-SN01089 ,0.55,,,,
Shelf_34-SN01106 ,0.105555556,,,,
Shelf_34-SN01122 ,0.105555556,,,,
Shelf_35-SN01075 ,0.261752137,,,,
Shelf_35-SN01089 ,0.738247863,,,,
Shelf_36-SN01075 ,0.090909091,,,,
Shelf_36-SN01089 ,0.909090909,,,,
Shelf_5-SN01068 ,0.672161172,,,,
Shelf_5-SN01090 ,0.077152015,,,,
Shelf_5-SN01093 ,0.096382784,,,,
Shelf_5-SN01098 ,0.077152015,,,,
Shelf_5-SN01101 ,0.077152015,,,,
Shelf_6-SN01068 ,0.415257353,,,,
Shelf_6-SN01090 ,0.384926471,,,,
Shelf_6-SN01093 ,0.061703431,,,,
Shelf_6-SN01120 ,0.061703431,,,,
Shelf_6-SN01122 ,0.076409314,,,,
Shelf_7-SN01068 ,0.1,,,,
Shelf_7-SN01087 ,0.1,,,,
Shelf_7-SN01090 ,0.7,,,,
Shelf_7-SN01093 ,0.1,,,,
Shelf_8-SN01090 ,1,,,,
